               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.048581,           0.0093868,                   0,             0.70021,             0.61465,             0.63158,             0.25745,            0.051392,           0.0061018,                   0,            0.002674,            0.002674,            0.002674
                  39,             0.04817,           0.0093243,                   0,             0.69854,             0.59774,             0.61052,             0.23914,             0.05221,           0.0061998,                   0,            0.002476,            0.002476,            0.002476
                  40,             0.04758,           0.0092628,                   0,             0.69212,             0.61694,             0.61575,             0.24732,            0.051293,           0.0060726,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.047489,            0.009224,                   0,             0.73537,             0.58271,             0.63141,             0.24222,            0.052281,           0.0061513,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.047502,           0.0090732,                   0,             0.72829,             0.60902,             0.63018,             0.25295,            0.051769,           0.0061073,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.046775,           0.0093918,                   0,             0.69353,             0.60402,             0.62139,             0.24744,            0.052022,           0.0060614,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.047162,           0.0093723,                   0,             0.71613,             0.63158,             0.64316,             0.25333,            0.050859,             0.00598,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.046538,           0.0091791,                   0,             0.67975,             0.63037,             0.62948,             0.24374,            0.052216,            0.006128,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.047057,            0.009104,                   0,             0.73105,             0.61313,             0.64745,             0.24671,            0.052313,           0.0061044,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.045961,           0.0089785,                   0,             0.67591,             0.60526,             0.62459,             0.25036,            0.051415,           0.0060928,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.046411,           0.0089042,                   0,             0.75232,             0.62406,             0.64213,             0.25375,            0.051454,           0.0060438,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.045576,           0.0089021,                   0,             0.69552,              0.6391,             0.64019,             0.25774,            0.050806,            0.006016,                   0,            0.000496,            0.000496,            0.000496
